DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,LOCATION,Cross Street,LAT,LON,Day of Week,Amount,Damage
2023-02-07,1930,19,Mission,510,VEHICLE - STOLEN,0,X,X,101.0,STREET,999.0,NO WEAPON,8400    WILLIS                       AV,NO CROSS STREET,34.2231,-118.4553,2,20000.0,1
2021-09-21,1340,20,Olympic,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",19,M,H,920.0,MTA - PURPLE LINE - WILSHIRE/VERMONT,999.0,NO WEAPON,3100    WILSHIRE                     BL,NO CROSS STREET,34.0652,-118.2878,2,20000.0,1
2022-09-20,2100,1,Central,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,X,X,102.0,SIDEWALK,999.0,NO WEAPON,1000 W  OLYMPIC                      BL,NO CROSS STREET,34.0461,-118.2674,2,10000.0,1
2022-11-16,1430,20,Olympic,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0,X,X,236.0,VISION CARE FACILITY*,999.0,NO WEAPON,1700 S  WESTERN                      AV,NO CROSS STREET,34.0418,-118.3134,3,20000.0,1
2023-03-26,2030,21,Topanga,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,23,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200.0,KNIFE WITH BLADE 6INCHES OR LESS,6900    ALABAMA                      AV,NO CROSS STREET,34.1956,-118.599,7,0.0,0
2022-10-25,1350,3,Southwest,480,BIKE - STOLEN,21,M,X,722.0,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,999.0,NO WEAPON,3300 S  HOOVER                       ST,NO CROSS STREET,34.0268,-118.2896,2,2000.0,1
2023-01-21,600,4,Hollenbeck,354,THEFT OF IDENTITY,25,F,H,501.0,SINGLE FAMILY DWELLING,999.0,NO WEAPON,2800 E  OLYMPIC                      BL,NO CROSS STREET,34.0234,-118.2177,6,0.0,0
2021-09-15,1630,9,Van Nuys,510,VEHICLE - STOLEN,0,X,X,101.0,STREET,999.0,NO WEAPON,15300    SATICOY                      ST,NO CROSS STREET,34.2085,-118.4662,3,20000.0,1
2020-06-18,1305,11,Northeast,440,THEFT PLAIN - PETTY ($950 & UNDER),0,X,X,402.0,MARKET,999.0,NO WEAPON,2700    HYPERION                     AV,NO CROSS STREET,34.1053,-118.2785,4,950.0,1
2022-06-15,2140,12,77th Street,510,VEHICLE - STOLEN,0,X,X,101.0,STREET,999.0,NO WEAPON,47TH                         ST,HALLDALE                     ST,34.001,-118.3024,3,20000.0,1
2022-09-22,850,14,Pacific,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",58,F,W,707.0,GARAGE/CARPORT,999.0,NO WEAPON,00    BUCCANEER                    ST,NO CROSS STREET,33.978,-118.466,4,900.0,1
2022-04-15,1200,20,Olympic,310,BURGLARY,60,M,W,501.0,SINGLE FAMILY DWELLING,999.0,NO WEAPON,100 S  GRAMERCY                     PL,NO CROSS STREET,34.073,-118.3125,5,10000.0,1
2021-07-16,1400,10,West Valley,440,THEFT PLAIN - PETTY ($950 & UNDER),28,M,W,108.0,PARKING LOT,999.0,NO WEAPON,VENTURA                      BL,ENCINO                       AV,34.1615,-118.5142,5,950.0,1
2021-12-22,1730,13,Newton,220,ATTEMPTED ROBBERY,50,M,H,101.0,STREET,207.0,OTHER KNIFE,SAN PEDRO                    ST,8TH                          ST,34.0385,-118.2491,3,2000.0,1
2021-01-06,1900,19,Mission,330,BURGLARY FROM VEHICLE,62,M,X,108.0,PARKING LOT,999.0,NO WEAPON,8300    VAN NUYS                     BL,NO CROSS STREET,34.2215,-118.4488,3,2000.0,1
